MinHub ID,Name,Event Type,Start Date,End Date,Event Collection ID,End Repeat Date,Repeat Interval Code,Student Attendees,Adult Attendees
35C80571-06F1-476E-9C1E-178A78A3B406,Youth United,Youth United,08/19/2016 18:08 PM,08/19/2016 21:08 PM,,,,53141653-CE17-4F12-8111-BF1C9C4EC6EA;24105CF1-81BA-4935-B7BD-52C6BB029E76;48C2A84B-E97D-424D-A1AF-0926A291DF1B;BECC4E4E-EE87-4494-A8E8-EF189DC1B3B0;24F0D775-BB29-4EF2-8E75-6428A113B3DC;7528302D-F3CC-415F-B5E9-61DDC583B3AE;D15D19E6-827F-42B6-8FFD-EF4B40480D15;635B5EC5-5892-45C2-B33B-CC9837A8E7EC;8C0FEF84-BB9B-4DBC-8BA5-064E871FD056;C0C4FE76-B751-4085-9596-DF410228D8E0;2198D3F5-8655-4333-ADAD-CBE0A3823670;94C3D6C4-E381-4A93-86AF-F72E3A309AEF;ABDCD886-F624-4F89-ABE0-AC55387A7FE7;6B0E4706-8B07-4D54-AACB-91A1E6A35860;003DB9EE-845E-4232-81A4-F047BA83F446;C79FB25F-5A02-4E44-B262-2111C5463F8D;866A0490-619E-48F7-AFFE-C0127E318EE0;67232830-17EB-4E7F-BAF6-896C807D8177;E258FA17-208A-49F7-B2A7-8272E9D1B46B;615F27CF-0B23-4067-90EF-C5ED8478B9B9;946633F9-419F-4FAB-9DBF-57572DA3B8F8,
9A25B143-5E30-4407-8940-81C7516A046A,McFormal,Club,12/02/2016 19:12 PM,12/02/2016 21:12 PM,,,,BECC4E4E-EE87-4494-A8E8-EF189DC1B3B0;48C2A84B-E97D-424D-A1AF-0926A291DF1B;55C18036-E2E4-4F52-A0CF-17A3191A0A5C;4862986F-FCCA-421D-B4C0-7C1D16FA4FB5;4AC2E179-C3B7-4F0D-9AE8-E561B057F1A3;047C1C62-9274-4639-BA1E-16813B06B919;D666592E-9FEB-4AD6-B498-48AE71FF273C;90D3BC13-EBE6-4816-8C8A-F4FD7A260592;6483C7CB-AEDA-40B5-9FEF-6361B83B1993;9490B913-E87D-4B31-A032-DD86CA308FB4;3A0D0A04-425B-4B2F-BE24-6592E402023B;08D82F50-3CAC-4B93-BAB4-E503F5D487E2;AE67B42F-9EF1-4FA9-A74A-547C8937FC20;C0C4FE76-B751-4085-9596-DF410228D8E0;ABDCD886-F624-4F89-ABE0-AC55387A7FE7;827A3E92-5807-4B0F-B87F-5DA70B81DBBB;634F858B-7E20-4108-9C6F-84660721A6BB;C79FB25F-5A02-4E44-B262-2111C5463F8D;7CC59608-FF1A-4BC3-AB16-6C5786FF8B03;3BF2ED95-8F3E-47C2-8619-1CC7E73AB913;4996E2D3-5F6A-49AE-93BE-1EF3334146F4;866A0490-619E-48F7-AFFE-C0127E318EE0;67232830-17EB-4E7F-BAF6-896C807D8177;24F0D775-BB29-4EF2-8E75-6428A113B3DC;24105CF1-81BA-4935-B7BD-52C6BB029E76;946633F9-419F-4FAB-9DBF-57572DA3B8F8,
D5810D7A-6F26-43EF-A25F-1FCAB9218767,Karaoke,Club,05/22/2015 19:05 PM,05/22/2015 21:05 PM,gwoxifkwbqavtisdeehedcrxwvnvbe,02/10/2025 19:02 PM,1,4862986F-FCCA-421D-B4C0-7C1D16FA4FB5;D1D804E6-4DA4-4212-A7C7-A801F1DCA319;1045E4D0-0C94-4AE5-913F-1E6ECD457288;85013F4D-56A6-4970-8985-CECB8D2EF401;77D31B75-8D40-43DC-8386-FCA92DBED3BD;16FA2328-44EA-4F3B-AF4A-B1C23F9DFA50;F3B1C5CB-446D-467D-A42D-C8A2D277A075;D15D19E6-827F-42B6-8FFD-EF4B40480D15;EC5CD3BB-5519-418A-BDAA-0BB933B243A0;28D1DA1E-7695-4380-83EA-C8AE4089C4E9;08D82F50-3CAC-4B93-BAB4-E503F5D487E2;ABDCD886-F624-4F89-ABE0-AC55387A7FE7;67232830-17EB-4E7F-BAF6-896C807D8177;C0C4FE76-B751-4085-9596-DF410228D8E0;CDD7DD13-B9CD-4B85-BBAB-87D1CD2C96FC;55C18036-E2E4-4F52-A0CF-17A3191A0A5C;200DE832-3CC7-4EB4-976D-EA4EE40C9711;DF3DA990-8D79-4B6E-B3C7-76BE0772B899,
53C3DD75-3EEA-4C64-854E-AB43694E2306,Skirmish,Club,06/24/2016 19:06 PM,06/24/2016 21:06 PM,,,,0F9B5DF0-F7BC-47DC-A475-5CB466A68B17;BECC4E4E-EE87-4494-A8E8-EF189DC1B3B0;53141653-CE17-4F12-8111-BF1C9C4EC6EA;4862986F-FCCA-421D-B4C0-7C1D16FA4FB5;2303EB12-5148-45D5-96B6-7EAFB8342F03;AA368BBA-16B0-494D-9178-EC5A986765E3;047C1C62-9274-4639-BA1E-16813B06B919;4AC2E179-C3B7-4F0D-9AE8-E561B057F1A3;8205B33F-458D-4A88-B941-CA4CC505F364;24F0D775-BB29-4EF2-8E75-6428A113B3DC;562F6D7D-A24A-416D-A888-00E4438028A4;6483C7CB-AEDA-40B5-9FEF-6361B83B1993;D15D19E6-827F-42B6-8FFD-EF4B40480D15;9490B913-E87D-4B31-A032-DD86CA308FB4;3A0D0A04-425B-4B2F-BE24-6592E402023B;7F8F13B3-A8B3-41BD-8228-93A34B113871;066BEBF0-6851-44AF-8D36-B621E48D7DF8;3CE953F7-D0BB-4288-AF3F-F78770EFA79D;099BE584-9C58-4E69-BF59-99F78FA975BC;00571041-6E96-4D8B-B6B9-A0D6FB717BC8;85013F4D-56A6-4970-8985-CECB8D2EF401;94C3D6C4-E381-4A93-86AF-F72E3A309AEF;ABDCD886-F624-4F89-ABE0-AC55387A7FE7;827A3E92-5807-4B0F-B87F-5DA70B81DBBB;7CC59608-FF1A-4BC3-AB16-6C5786FF8B03;4996E2D3-5F6A-49AE-93BE-1EF3334146F4;866A0490-619E-48F7-AFFE-C0127E318EE0;67232830-17EB-4E7F-BAF6-896C807D8177;FB1ED088-4502-4111-9847-FBB6A522BBFC;615F27CF-0B23-4067-90EF-C5ED8478B9B9;2A8B7B8B-A50B-4C60-98F7-FDC2629FABE4,A859675B-9F83-4063-877E-B0FB7F8BF10B
0AA02EC4-2E7E-4BC4-B8E1-3547414CCF83,German,Club,03/10/2017 19:03 PM,03/10/2017 21:03 PM,,,,C27DB808-74E9-42F6-8A93-D2DDF77A7AC0;DF3DA990-8D79-4B6E-B3C7-76BE0772B899;A78B8E32-6607-42F5-A5F6-14CDEC1068A2;B1E111D0-7090-436B-AC3E-171F4E38CC19;6483C7CB-AEDA-40B5-9FEF-6361B83B1993;AE67B42F-9EF1-4FA9-A74A-547C8937FC20;C0C4FE76-B751-4085-9596-DF410228D8E0;924B2AEE-EDBC-4871-A7C2-9840E8553288;990015A4-3DAD-4E28-9CEF-730ED83BF379;7A3C5245-D0AD-43D2-8C13-1D7554D6F489;94C3D6C4-E381-4A93-86AF-F72E3A309AEF;ABDCD886-F624-4F89-ABE0-AC55387A7FE7;827A3E92-5807-4B0F-B87F-5DA70B81DBBB;003DB9EE-845E-4232-81A4-F047BA83F446;4996E2D3-5F6A-49AE-93BE-1EF3334146F4;049CA52E-278E-473B-83E5-6E517C56B741;866A0490-619E-48F7-AFFE-C0127E318EE0;67232830-17EB-4E7F-BAF6-896C807D8177;0E11A6F9-CF4C-46F5-871B-75A7F2A21F35,
375DF870-2618-417E-9764-3BB9BEDDCCD9,Energizer,Club,09/02/2016 18:09 PM,09/02/2016 19:09 PM,,,,53141653-CE17-4F12-8111-BF1C9C4EC6EA;24105CF1-81BA-4935-B7BD-52C6BB029E76;24F0D775-BB29-4EF2-8E75-6428A113B3DC;4862986F-FCCA-421D-B4C0-7C1D16FA4FB5;D666592E-9FEB-4AD6-B498-48AE71FF273C;90D3BC13-EBE6-4816-8C8A-F4FD7A260592;D15D19E6-827F-42B6-8FFD-EF4B40480D15;9490B913-E87D-4B31-A032-DD86CA308FB4;28D1DA1E-7695-4380-83EA-C8AE4089C4E9;6483C7CB-AEDA-40B5-9FEF-6361B83B1993;3A0D0A04-425B-4B2F-BE24-6592E402023B;6B0E4706-8B07-4D54-AACB-91A1E6A35860;94C3D6C4-E381-4A93-86AF-F72E3A309AEF;ABDCD886-F624-4F89-ABE0-AC55387A7FE7;2198D3F5-8655-4333-ADAD-CBE0A3823670;003DB9EE-845E-4232-81A4-F047BA83F446;7CC59608-FF1A-4BC3-AB16-6C5786FF8B03;C79FB25F-5A02-4E44-B262-2111C5463F8D;866A0490-619E-48F7-AFFE-C0127E318EE0;FB1ED088-4502-4111-9847-FBB6A522BBFC;E258FA17-208A-49F7-B2A7-8272E9D1B46B;615F27CF-0B23-4067-90EF-C5ED8478B9B9;946633F9-419F-4FAB-9DBF-57572DA3B8F8,
DFFEFA27-0697-4BE5-AB55-810EB6167EA5,Wild Wild West ,Club,09/09/2016 19:09 PM,09/09/2016 21:09 PM,,,,42D5D5F9-3319-4CD4-9379-2F2FDDE8F92B;AE67B42F-9EF1-4FA9-A74A-547C8937FC20;85013F4D-56A6-4970-8985-CECB8D2EF401;866A0490-619E-48F7-AFFE-C0127E318EE0;D666592E-9FEB-4AD6-B498-48AE71FF273C;90D3BC13-EBE6-4816-8C8A-F4FD7A260592;24F0D775-BB29-4EF2-8E75-6428A113B3DC;00571041-6E96-4D8B-B6B9-A0D6FB717BC8;A6081292-E758-40FE-B234-9F75448A86F4;ABDCD886-F624-4F89-ABE0-AC55387A7FE7;3CE953F7-D0BB-4288-AF3F-F78770EFA79D;4AC2E179-C3B7-4F0D-9AE8-E561B057F1A3;EB5621FF-6D74-490E-B66B-235FCEE43033;24105CF1-81BA-4935-B7BD-52C6BB029E76;7CC59608-FF1A-4BC3-AB16-6C5786FF8B03;3A0D0A04-425B-4B2F-BE24-6592E402023B;C79FB25F-5A02-4E44-B262-2111C5463F8D,
55731F56-BE72-4191-A445-D54B72DF29DD,Ice Mania,Club,02/19/2016 19:02 PM,02/19/2016 21:02 PM,towghbgtkqetbvepoqhjywxnxfbsur,04/12/2016 00:04 AM,1,55C18036-E2E4-4F52-A0CF-17A3191A0A5C;16FA2328-44EA-4F3B-AF4A-B1C23F9DFA50;D666592E-9FEB-4AD6-B498-48AE71FF273C;67232830-17EB-4E7F-BAF6-896C807D8177;8A279226-BBA5-428D-9283-B62B3559F825;2A8B7B8B-A50B-4C60-98F7-FDC2629FABE4;FB1ED088-4502-4111-9847-FBB6A522BBFC;90D3BC13-EBE6-4816-8C8A-F4FD7A260592;8F33010E-E864-4E45-BA36-76455DAA5767;3A0D0A04-425B-4B2F-BE24-6592E402023B,A859675B-9F83-4063-877E-B0FB7F8BF10B
087B5743-2E55-4099-9247-EFE45522ABED,Youth United,Youth United,06/26/2015 19:06 PM,06/26/2015 21:06 PM,gwoxifkwbqavtisdeehedcrxwvnvbe,02/10/2025 19:02 PM,1,4862986F-FCCA-421D-B4C0-7C1D16FA4FB5;2A20E45A-906F-4EE6-A521-6478CFCBDA5F;D1D804E6-4DA4-4212-A7C7-A801F1DCA319;1045E4D0-0C94-4AE5-913F-1E6ECD457288;77D31B75-8D40-43DC-8386-FCA92DBED3BD;F3B1C5CB-446D-467D-A42D-C8A2D277A075;DF3DA990-8D79-4B6E-B3C7-76BE0772B899;00571041-6E96-4D8B-B6B9-A0D6FB717BC8;08D82F50-3CAC-4B93-BAB4-E503F5D487E2;ABDCD886-F624-4F89-ABE0-AC55387A7FE7;67232830-17EB-4E7F-BAF6-896C807D8177;C0C4FE76-B751-4085-9596-DF410228D8E0;28D1DA1E-7695-4380-83EA-C8AE4089C4E9;55C18036-E2E4-4F52-A0CF-17A3191A0A5C;48C2A84B-E97D-424D-A1AF-0926A291DF1B;A9475C87-DDEC-4F0B-AD0C-F8DF92E4FCE8;58DBE1C7-0743-4178-99EA-E94904187C1D,
35C53F41-4370-4342-A838-C94368C75207,Circus,Club,03/04/2016 19:03 PM,03/04/2016 21:03 PM,towghbgtkqetbvepoqhjywxnxfbsur,04/12/2016 00:04 AM,1,DF3DA990-8D79-4B6E-B3C7-76BE0772B899;55C18036-E2E4-4F52-A0CF-17A3191A0A5C;4AC2E179-C3B7-4F0D-9AE8-E561B057F1A3;047C1C62-9274-4639-BA1E-16813B06B919;4862986F-FCCA-421D-B4C0-7C1D16FA4FB5;D666592E-9FEB-4AD6-B498-48AE71FF273C;90D3BC13-EBE6-4816-8C8A-F4FD7A260592;9490B913-E87D-4B31-A032-DD86CA308FB4;28D1DA1E-7695-4380-83EA-C8AE4089C4E9;3A0D0A04-425B-4B2F-BE24-6592E402023B;08D82F50-3CAC-4B93-BAB4-E503F5D487E2;85013F4D-56A6-4970-8985-CECB8D2EF401;C0C4FE76-B751-4085-9596-DF410228D8E0;00571041-6E96-4D8B-B6B9-A0D6FB717BC8;7A3C5245-D0AD-43D2-8C13-1D7554D6F489;ABDCD886-F624-4F89-ABE0-AC55387A7FE7;67232830-17EB-4E7F-BAF6-896C807D8177;A9475C87-DDEC-4F0B-AD0C-F8DF92E4FCE8;2A8B7B8B-A50B-4C60-98F7-FDC2629FABE4,A859675B-9F83-4063-877E-B0FB7F8BF10B
